dc:title,prism:publicationName,prism:coverDate,prism:volume,prism:issueIdentifier,prism:pageRange,prism:doi,subtype,subtypeDescription,citedby-count,eid,pubmed-id,openaccess,abstract,themes
Subtidal macroalgae shifts in a key transitional coastal region: the role of extreme events,Marine Environmental Research,2026-03-01,215,,,10.1016/j.marenvres.2025.107808,ar,Article,0,2-s2.0-105025202988,,1,"Macroalgae forests are suffering important alterations around the world due to climate driven changes. In many cases, canopy-forming species are being replaced by turfing algae, leading to impoverished ecosystems with lower diversity and a simplified food-web complexity. The present study describes the shifts observed since 2005 in the coast of Cantabria, a key transitional region for the distribution of cold-temperate and warm-temperate biological communities of the NE Atlantic, and relates them with changes in the environmental conditions. The study analyses the distribution and abundance of subtidal macroalgae species found in 2005 and 2017/2019 following the same methodological approach. As physical variables sea surface temperature (SST) and significant wave height (Hs) are analysed since 1985, with a special emphasis in the occurrence of extreme events. The results obtained show an almost disappearance of kelps, a notable reduction of other canopy-forming species and an increasing coverage of turf-forming and non-indigenous species. Moreover, significant differences are observed among coastal zones and depth ranges. These changes seem to be related to a combined effect of i) a long-term SST increasing trend observed since the 1980s and ii) a short-term occurrence of several extreme warming events observed since 2003. The loss of resilience produced during the long-term stress could have facilitated the switch in the ecosystem, accelerated by the short-term extreme events. The dramatic consequences that could arise from the disappearance of macroalgae forests calls for the adoption of management measures for the conservation of this valuable component of the coastal ecosystems.","5,7,10,11"
Marine heatwaves disrupt germination and seedling physiology in Zostera marina,Marine Environmental Research,2026-03-01,215,,,10.1016/j.marenvres.2025.107789,ar,Article,0,2-s2.0-105025198858,41435713,1,"Marine heatwaves (MHWs) are intensifying with climate change, posing a growing threat to the resilience of coastal marine ecosystems, such as seagrasses. While MHW impacts on adult seagrasses are increasingly studied, their effects on early developmental stages remain unexplored. This represents a critical knowledge gap, as recruitment success is essential for long-term population persistence, particularly in degraded or restored meadows. Here, we exposed Zostera marina seeds to three realistic MHW categories (moderate, strong, and severe) during the natural spring germination period. We assessed how thermal stress influences germination dynamics, seedling morphology, and physiological performance. Germination exhibited a non-linear response to MHW intensity. Moderate MHW (Category I) significantly delayed germination and reduced emergence, while strong MHW (Category II) unexpectedly enhanced germination but induced a shoot–root growth imbalance, with greater shoot than root development. Severe MHW (Category III) suppressed pigment concentrations and electron transport rates, suggesting reduced photoprotection and probable PSII damage. These carry-over effects reveal a narrow thermal window for successful seedling development, where temperatures only slightly above the baseline affect germination, early growth stages and pigment composition, making early life stages a physiological bottleneck under climate extremes. By identifying critical thresholds and associated developmental trade-offs, our study advances understanding of how early-stage sensitivity can constrain population recovery and facilitates integration of seed-based responses into predictive frameworks of seagrass resilience and coastal habitat stability in a warming ocean.","7,11"
Impacts of marine heatwaves on bivalves during reproduction,Marine Environmental Research,2026-03-01,215,,,10.1016/j.marenvres.2025.107810,ar,Article,0,2-s2.0-105025194946,,0,"Marine heatwaves (MHWs) have increased in frequency, intensity, and duration in this era of unprecedented climate change, posing significant threats to bivalves. Yet, the consequences of MHWs for bivalves during reproductive conditioning, which are vital for the recruitment success and population maintenance, remain largely unknown. Here, we assessed the impact of intensifying MHWs on economically and ecologically significant clams (Ruditapes philippinarum) during gonadal maturation. The survival of clams significantly decreased to 56 % following repeated exposure to the most severe thermal scenario of MHWs (22 °C–32 °C for 5 days and then recovery at 22 °C for 5 days for each event). Qualitative evidence suggests that intensifying MHWs resulted in irreversible gonadal impairments in both female and male clams even after two recovery periods. With increasing frequency and intensify of MHWs, activities of energy-metabolizing enzymes (NKA, CMA, and T-ATP) decreased initially and then increased significantly. This pattern agreed well with changes in enzyme performances (e.g., SOD, CAT, MDA, AKP, ACP) and associated gene expressions in the gill antioxidant and immune defence system. Our, our findings demonstrate that R. philippinarum exhibits physiological plasticity in response to MHWs. However, significant increases in mortality and irreversible impairments in gonads underscore the profound impact of intensifying MHWs on bivalves during reproduction, which can affect recruitment success and population maintenance.","7,9,11"
Marine cold spells in the Baltic sea,Environmental Research Climate,2026-03-01,5,1,,10.1088/2752-5295/ae249b,ar,Article,0,2-s2.0-105024703364,,1,"Marine cold spells, characterized by anomalously low sea surface temperatures (SSTs), play a crucial role in shaping marine ecosystems and have significant socioeconomic implications. Unlike the extensively studied marine heatwaves, research on marine cold spells (MCSs) remains limited, particularly in the Baltic Sea, one of the fastest-warming seas globally. Its semi-enclosed nature, strong seasonal variations, and sensitivity to atmospheric–oceanic changes make it an ideal case study region for examining the occurrence and impacts of cold spells under ongoing climate change. This study analyzes MCS characteristics in the Baltic Sea from 1982 to 2023 during the extended summer–autumn season (June–November). The Cold spell occurrences declined, with coastal events being more intense (≈4 °C) than offshore (≈3 °C). The MCS event duration has decreased, especially in the western Baltic Sea. The decline is mainly driven by a sustained SST warming trend of ≈0.05 °C per year, with interannual variability being secondary. Cold spell parameters derived from detrended SST data remove long-term warming and were used to assess cold spell variability. In recent years, coastal regions, especially upwelling zones, have experienced fewer and shorter cold spells, consistent with other regions, but their intensity has significantly increased (0.047 °C per year since 2006). These intensifications may be linked to large-scale atmospheric circulation patterns such as the North Atlantic oscillation, Scandinavian pattern, and East Atlantic pattern.","5,10"
Combined LFS and ConvLSTM to forecast marine heatwaves: a case study,Atmospheric and Oceanic Science Letters,2026-03-01,19,2,,10.1016/j.aosl.2025.100690,ar,Article,0,2-s2.0-105012745219,,1,"Marine heatwaves (MHWs) in the South China Sea (SCS) significantly impact marine ecosystems and socioeconomic development, yet accurately forecasting MHWs remains a challenge. This study developed an upper-ocean temperature forecasting model based on ConvLSTM for the northern SCS and, in conjunction with the ocean forecasting system LICOM Forecast System (LFS), constructed a hybrid Fusion model using Wasserstein-Distance optimization. The ability of these three models to forecast key MHW metrics with a 10-day lead was assessed during the summer of 2022 in the SCS. Overall, the Fusion model takes advantage of LFS and ConvLSTM, providing superior forecasts for both the duration and intensity of MHWs in the southern SCS. LFS (ConvLSTM) overestimates (underestimates) the duration of MHWs and all models exhibit limitations in forecasting the intensity of MHWs in part of the SCS. The Fusion model's superior forecast skill for MHWs may be attributable to its more realistic representation of the upper-ocean thermal structure with shallower mixed-layer depths during MHWs. This study highlights that combining the deep learning technique with a dynamical model can improve MHW forecasting and has certain physical interpretability. 摘要 海洋热浪 (MHW) 严重威胁中国南海生态与经济, 亟需提高MHW预测能力. 本研究基于海洋再分析资料, 利用ConvLSTM构建上层海温深度学习预报模型, 并与LICOM海洋环境预报系统 (LFS) 融合, 建立订正模型 (Fusion). 评估ConvLSTM, LFS和Fusion对2022年南海夏季MHW持续时间和平均强度的预报技巧表明: 1) Fusion技巧最优; 2) LFS系统性高估, ConvLSTM系统性低估MHW持续时间; 3) 三个模型对部分海域的MHW平均强度预报存在局限. Fusion较高的MHW预报技巧可能与更合理的上层温度垂直结构有关. 本研究表明, 融合深度学习与动力模式可有效改进南海MHW预报, 并具物理可解释性.","12,13"
Classification of marine heatwaves in the South China Sea and their thermodynamic features,Atmospheric and Oceanic Science Letters,2026-03-01,19,2,,10.1016/j.aosl.2025.100662,ar,Article,2,2-s2.0-105009418120,,1,"The frequency of marine heatwaves (MHWs) in the South China Sea (SCS) has increased recently. However, the relative roles of thermal and dynamic processes regulating the changes of SCS MHWs remain an open question. This study examines all long-lived MHWs (> 10 days) in the SCS from 1982 to 2021, categorizing them into intensified and attenuated MHWs based on the overall trend of sea surface temperature during an MHW event. A mixed-layer heat budget analysis reveals that the thermal processes primarily driven by the latent heat flux are crucial in modulating the SCS MHWs, particularly for attenuated MHWs. However, under intensified conditions, the proportions of dynamically dominated MHWs (40 %) is approximately comparable to that of thermally dominated ones (47 %). This study highlights the significance of dynamic processes in shaping SCS MHWs and discusses the potential impacts induced by tropical cyclones on these MHWs. 摘要 近年来南海海洋热浪发生频率显著上升, 但调控其变化的热力与动力过程的相对作用尚不明确. 本研究分析了1982至2021年的南海海洋热浪事件, 根据海洋热浪期间海表温度的变化趋势将其划分为增强型和减弱型两类. 混合层热收支分析表明, 由潜热通量主导的热力过程对调控南海海洋热浪 (尤其是衰减型) 至关重要. 然而, 在增强型海洋热浪中, 动力过程主导的事件比例 (40 %) 与热力主导型 (47 %) 近乎相当. 本研究强调了动力过程在塑造南海海洋热浪中的重要性, 并探讨了热带气旋对南海海洋热浪可能产生的影响.","1,4,10"
Healthy estuaries enhance climate change resilience for fish within South African coastal seascapes,Landscape Ecology,2026-02-01,41,2,,10.1007/s10980-025-02273-z,re,Review,0,2-s2.0-105027703920,,1,"Context : The capacity for estuaries in coastal seascapes to locally mitigate the effects of regional climate change should be considered in adaptation planning. Objectives and methods : In this paper we review work undertaken in South Africa’s warm-temperate estuaries to examine factors that promote climate change resilience for estuaries and associated fish and also the potential refuge provided by estuaries from climate change impacts within coastal seascapes. Results : The thermal refuge provided by the middle and upper reaches of permanently open marine dominated estuaries for fish species is illustrated from long-term temperature monitoring in estuaries and adjacent coastlines. During extreme temperature events in the nearshore and lower estuary reaches, minimal thermal variability is maintained in middle and upper estuarine reaches, thus providing biota with a refuge against extreme thermal variability. In healthy estuaries seagrass meadows are particularly important nursery habitats, which have the added ecosystem service of maintaining pH stability and providing ocean acidification refuges for associated fauna. However, this refuge potential (resilience) declined when high water temperatures associated with a marine heat wave, interacting with nutrient enrichment, caused macroalgae blooms in seagrass meadows. We identified estuaries in the warm-temperate region that potentially provide temperature and pH refuge based on their key features (connection to the sea, habitat availability and extent). In the warm-temperate seascape 13 estuaries with marine dominated middle reaches potentially provide thermal refuge for stenohaline species seeking refuge from thermal stress. Extensive seagrass beds potentially providing ocean acidification refuges are found in 10 of these 13 estuaries. Conclusions : Fish communities in healthy refuge estuaries (defined as estuaries with minimal habitat alteration and loss) are more resilient to climate change impacts than those in altered systems, with eutrophication being the primary anthropogenic driver of change.","3,7,9,11"
Chlorophyll response and High Productivity Zone contraction in northern Perú during the 2017 Coastal El Niño,Progress in Oceanography,2026-02-01,242,,,10.1016/j.pocean.2026.103679,ar,Article,0,2-s2.0-105027636662,,0,"The 2017 Marine Heatwave event was characterized by significant positive sea surface temperature anomalies driven by weakened and reversed wind patterns, from mid-January to mid-April. The wind reversal during the Coastal El Niño favored downwelling processes, limiting the upward transport of nutrient-rich waters and causing a rapid collapse in surface phytoplankton biomass. Additionally, reduced latent heat flux and increased shortwave radiation further exacerbated surface warming. From February to March 2017, chlorophyll-a concentrations showed strong negative anomalies (more than −3 mg m−3), with the High Productive Zone (HPZ) contracting significantly, from 300 km offshore in January to nearly 25 km from the coast during this two-months period, while the total HPZ area decreased by up to 130,000 km2 in March, demonstrating a sharp decline in surface chlorophyll-a concentration. However, as physical drivers tend to return to typical seasonal values by April, upwelling resumed, positive chlorophyll-a anomalies emerged indicating a relatively rapid recovery of phytoplankton biomass, and the HPZ re-expanded toward climatological levels. These findings emphasize the sensitivity of the northern Peruvian marine ecosystem to short-term climate variability. Given the increasing frequency of these climatic events, understanding the physical drivers of ecosystem changes is critical for predicting future impacts and informing adaptive management strategies.","4,7,10"
Differential interspecific responses of symbiotic luminous bacteria Vibrio spp. in a cephalopod host to marine heatwaves,Marine Biology,2026-02-01,173,2,,10.1007/s00227-025-04756-8,ar,Article,0,2-s2.0-105027184230,,0,"Bobtail squids from the genera Sepiola spp. are known for their association with the bioluminescent bacteria Vibrio fischeri and V. logei. Although the ecology and behaviour of the bobtail squids are described, the understanding of symbionts’ response to environmental changes, namely marine heatwaves (MHW), is scarce. Here, we conducted a one-year investigation (2021–2022) into the dual microbiome variation in Sepiola atlantica (collected in Sesimbra, Portugal) and assessed the growth rate and yield of several strains of V. fischeri and V. logei at different thermal scenarios (8 to 28 °C, including the range of present and likely near-future MHW conditions). Low temperatures (< 17 °C) led to a relatively slow growth rate, but a high yield was reached by both bacterial species. At high temperatures (> 17 °C), V. fischeri achieved an increased growth rate (with a slight decrease in yield), including under MHW categories I to IV (i.e., 20 to 25 °C), whereas V. logei growth rate and yield decreased at the higher temperature range. Moreover, the proportion of V. logei symbionts per light organ of S. atlantica also decreased with increasing temperatures. These interspecific growth differences under warming conditions may induce changes in the squid’s bioluminescence capabilities. Further investigations are needed to confirm the potential impact of temperatures on bioluminescence, both in isolation (i.e., culture) and in symbiosis.","7,14"
Back-to-back triggering of tropical cyclones during extreme positive IOD event in the Arabian Sea,Climate Dynamics,2026-02-01,64,2,,10.1007/s00382-025-07993-1,ar,Article,0,2-s2.0-105026861705,,0,"Ocean-atmospheric interactions are known to be crucial for the prediction of genesis and intensification of tropical cyclones (TCs). The TCs are the most catastrophic natural disasters threatening livelihood and socioeconomy, which are abruptly altered by regional climate variability. The present study investigates the cascading impacts of an extreme positive Indian Ocean Dipole (PIOD) event of 2019 on the severity and frequency of TCs and marine heatwaves (MHWs) in the Arabian Sea. During the extreme PIOD phase, anomalous easterly winds enhanced SST zonal gradients in the tropical Indian Ocean, triggering a downwelling equatorial Kelvin wave, which was further intensified by the reflection of Rossby wave from the African coast, thereby contributing to increased MHWs and TC activity. This study highlights that the Arabian Sea in 2019 experienced an anomalously high SST, marking the first historical record by exceeding its dipole mode index value of 2.1 °C; subsequently attributed to high MHW frequency (9 events) and five TC occurrences. A prolonged occurrence of surface and subsurface MHWs is observed prior to the TCs. The vertical coupling between surface and subsurface MHWs regulates the thermal structure of the upper ocean and, in turn, modulates TC activity in the Arabian Sea. Furthermore, a bimodal pattern of subsurface MHWs with pronounced warm anomalies was observed during the pre-monsoon (March-May) and post-monsoon (October-December) periods, indicating two distinct phases of subsurface heat accumulation and persistence in the Arabian Sea. The decreased vertical wind shear and low-level jet are favorable for the prolonged sustenance of MHWs and TC activity during the onset of monsoon. The findings provide insights into the synergistic interplay of extreme PIOD event associated MHW, TCs, and their implications for regional climate variability during 2019.","4,5,10,13"
Each temperature degree counts: warming enhances polystyrene nanoplastic toxicity via metabolic disruption in a marine cellular model,Aquatic Toxicology,2026-02-01,291,,,10.1016/j.aquatox.2025.107685,ar,Article,0,2-s2.0-105025370150,41421294,1,"Climate change is significantly altering the thermal environment of marine species, causing shifts in animal metabolism through increased temperatures and more frequent marine heatwaves. These changes can impose additional physiological stress on coastal organisms, potentially worsening their sensitivity to environmental pollutants and metabolic disruptors such as plastics. Indeed, nanoplastics are concerning contaminants in marine ecosystems, with the potential to disrupt cellular metabolism and redox balance in aquatic organisms. This study examined if rising temperatures can influence the cellular toxicity of two model polystyrene nanoplastics (non-functionalized Plain-NanoPS and amino-functionalized NH₂-NanoPS) in primary cultures of Pacific oyster Crassostrea gigas (Magallana gigas) hemocytes. We exposed hemocytes to a range of nanoplastic concentrations (0.1 to 10 mg/L) at controlled temperatures from 16 °C to 28 °C and evaluated cellular responses using metabolic, oxidative, and viability biomarkers. This range of concentrations and temperatures reflects the NPs content in tissues and fluids, as well as temperature fluctuations in aquaculture sites and intertidal environments. Plain-NanoPS had minimal effects, while NH₂-NanoPS caused temperature-dependent toxicity, impairing ATP production, reducing metabolic activity, and increasing reactive oxygen species levels. Integrated cellular biomarker analysis showed a shift from an adaptive to a stress-dominated metabolic phenotype under combined NH₂-NanoPS exposure and warming conditions. Since both particle types exhibited similar surface charges in cell culture medium, factors other than surface charge might influence cellular toxicity. This research demonstrates that warming increases the metabolic toxicity of nanoplastics and can reduce the thermal resilience of oyster cells in vitro .","5,7,11"
