dc:title,prism:publicationName,prism:coverDate,prism:volume,prism:issueIdentifier,prism:pageRange,prism:doi,subtype,subtypeDescription,citedby-count,eid,pubmed-id,openaccess,abstract,themes
Strong impact of tropical cyclones on the genesis of subsurface marine heatwaves,Communications Earth and Environment,2025-12-01,6,1,,10.1038/s43247-025-02992-w,ar,Article,0,2-s2.0-105026215695,,1,"Subsurface marine heatwaves are newly recognized extreme ocean events with profound impacts on global marine ecosystems. Previous studies have linked their formation to downwelling favorable surface winds, warm ocean eddies, and planetary waves, yet whether other potential drivers of these heatwaves exist remains unclear. The tropical cyclones are well known to induce a pronounced warming in the subsurface. Here, we show that the induced warming can efficiently trigger subsurface marine heatwaves. It is shown from an ocean reanalysis that such warming reaches the heatwave threshold at least once along the tropical cyclone life cycle for 79.4% of the tropical cyclones. Tropical cyclone-induced heatwaves thus account for up to 40.0% of the heatwaves in cyclone-active regions. The area and intensity of tropical cyclone-induced heatwaves have increased over the past two decades, likely due to the steady warming of subsurface temperatures.","3,4,5"
Persistent Geographic Patterns of Coral Recruitment in Hawaiʻi,Oceans,2025-12-01,6,4,,10.3390/oceans6040080,ar,Article,0,2-s2.0-105026149594,,1,"Coral life cycle dynamics are poorly understood in most reefs, especially at the large geographic scales commensurate with ocean transport, genetic flow, and other synoptic scale processes. We present a spatially explicit, large-scale, and multi-temporal study of coral settlement along a 30 km long reef system in the Southwest portion of Hawaiʻi Island. Here, we focused on interannual variability in coral recruitment from 2021 to 2024, a period without a major marine heatwave. We used stratified random site selection to place 320 coral settlement tiles at 32 sites (10 tiles per site) at 10 ± 3 m water depth annually to monitor recruitment of the three most common coral genera found in the region (Montipora, Pocillopora, Porites). Site-level interannual variability in coral recruitment was high yet the overall geographic distribution of recruits was consistent through time. This occurred despite a decrease in benthic temperature and recruitment rates during the study period. Persistent geographic patterns in coral recruitment strengthen our understanding of mechanisms and conditions that drive reef resilience. They also strongly suggest a need to protect areas of high recruitment while studying drivers of low recruitment in contrasting habitats. This approach will further increase support of coral production in an era of climate- and coastal pollution-driven declines in coral reefs.","8,11"
Heatwaves Affect the Gonadal Maturation of the Sea Urchin Paracentrotus lividus,Journal of Marine Science and Engineering,2025-12-01,13,12,,10.3390/jmse13122293,ar,Article,0,2-s2.0-105025808154,,1,"Climate-induced ocean warming poses a major threat to marine invertebrate reproduction, including the sea urchin Paracentrotus lividus, a species of considerable ecological, economic, and scientific interest. Its gonads, highly valued as a culinary delicacy, support local fisheries and aquaculture industries, making reproductive health a critical factor for both conservation and commercial viability. The present study reported the effects of elevated seawater temperatures, mimicking marine heatwave (MHW) conditions, on gonadal maturation and fertilization success on P. lividus. Here, adult specimens at the mature stage of gametogenesis were exposed to control (18 °C) and elevated temperature regimes (24 °C) over a six-week period, and key reproductive metrics were assessed, including histological analysis. Morphological analysis showed very evident gonadal retraction, nearly devoid of germ cells, both for males and females, with a significant decrease in the gonadal index. In addition, histological analysis revealed consistent damage to the gonads, with a significantly increase in histopathological index in specimens kept at 24 °C. These findings reinforce the temperature sensitivity of P. lividus reproduction, suggesting that recurrent heatwaves could severely impair its reproductive output and population dynamics with potential cascading effects on benthic community structure in a long-term ocean warming predicted to intensify.","7,8,11"
Stunted canopy: Marine forests under the thermal effluent of a nuclear power plant,Journal of Phycology,2025-12-01,61,6,1884-1894,10.1111/jpy.70113,ar,Article,0,2-s2.0-105023682617,41328748,1,"It has been well established that warming beyond certain thresholds can negatively affect the growth of canopy-forming macroalgae. However, most studies evaluating these effects have been conducted under controlled laboratory conditions. Observational studies investigating the impact of extreme temperatures on growth rates have been rare and typically limited to events such as marine heatwaves or areas affected by thermal pollution. The decline in vertical growth could be detrimental to the development and recovery of macroalgal canopies, significantly impacting habitat complexity. This study examined spatiotemporal variations in thallus height and vertical growth rates of benthic Sargassum species near the Brazilian Nuclear Power Station (BNPS). Samples were collected from sites exposed and unexposed to the thermal effluent of the BNPS, across different periods. Throughout the sampling periods, sites exposed to the thermal effluent consistently exhibited lower vertical growth rates than unexposed sites. Reduced thallus height was also observed at impacted sites during the first sampling period, whereas in the second period, this stunted canopy was observed only at the site closest to the thermal effluent outfall. This decline in vertical growth could reduce habitat complexity, potentially altering the structure of shallow rocky macroalgal communities. Even acknowledging the limitations in establishing cause–effect relationships in in situ studies, these results can provide important insights into the potential effects of warming on shallow, rocky-bottom communities and may offer valuable guidance for managing and monitoring Sargassum populations in the face of thermal pollution and global climate change.","3,7,9"
Vertical structure of chlorophyll-a during marine heatwaves in the California Current Ecosystem,Communications Earth and Environment,2025-12-01,6,1,,10.1038/s43247-025-02835-8,ar,Article,0,2-s2.0-105022606701,,1,"In the past decades, the California Current Ecosystem has experienced intense marine heatwaves, which have induced significant disruptions to local phytoplankton communities. Here, using 30-year cruise observations, we identify a previously undocumented vertical structure in chlorophyll-a concentration response to marine heatwaves, characterized by reductions in the surface layer coupled with increases in the subsurface. By integrating observations and coupled physical-biogeochemical model products, we demonstrate that declines of surface chlorophyll-a are primarily attributed to suppressed nutrient upwelled to the upper ocean. Although surface irradiance increased modestly (+3.5%), light availability in the subsurface layer improved substantially (+21.7%) due to reduced phytoplankton shading at the surface. Concurrent with enhanced lateral nutrient transport, phytoplankton growth at depth was promoted during heatwave events. This study highlights the pivotal role of subsurface phytoplankton dynamics in shaping the vertical chlorophyll-a concentration structure and its variability under extreme events.","3,4,7"
Vertical transitions of marine heatwaves influenced by seasonally varying atmospheric forcing and coastal upwelling system,Communications Earth and Environment,2025-12-01,6,1,,10.1038/s43247-025-02853-6,ar,Article,0,2-s2.0-105022080977,,1,"Under ongoing global warming, global coastal upwelling systems are increasingly recognized as potential thermal refugia from marine heatwaves, owing to their ability to transport colder subsurface water to the surface. Here we hypothesized that the upwelling (downwelling) concurrent with marine heatwaves would restrict (deepen) their maximum depth. Mixed-layer heat budget analyses using satellite and reanalysis datasets revealed an intrinsic connection between the seasonally varying upwelling system and marine heatwaves over the Greater Bay Area of China. Notably, upwelling driven by local monsoons and coastal topography appears to limit the vertical extent of marine heatwaves, modulating transitions between surface and subsurface events. Our findings provide a distinct perspective on the role of coastal upwelling in shaping the vertical structure of marine heatwaves. While upwelling regions may still serve as thermal refugia under continued warming, their buffering effect is likely more pronounced for subsurface or bottom marine heatwaves than for surface events.","3,4,13"
Geographically-dependent coastal marine heatwaves: Insights from coastal seas around a semi-enclosed bay,Advances in Climate Change Research,2025-12-01,16,6,1191-1205,10.1016/j.accre.2025.09.012,ar,Article,0,2-s2.0-105021028597,,1,"Coastal seas connecting the open ocean and land are highly impacted by local terrestrial weather and climate systems. However, there is a lack of research focus on the distinct coastal geographical features, which may locally contribute to the spatiotemporal pattern and associated drivers of coastal marine heatwaves (MHWs). MHW metrics defined using the Climate Change Initiative Sea Surface Temperature (SST) dataset during 1981–2020, including event-averaged cumulative intensity, duration and frequency, show significant spatial correlations (|R| > 0.92) with each other at Shark Bay, Western Australia, which also have distinct high correlations (R > 0.73) with bathymetry. Mixed-layer heat budget analyses using the Bluelink ReANalysis (BRAN2020), analogues to the interpretation of results from a simplified atmospheric-forced experiment, further confirm the possibly nonnegligible contribution of geographical features to the warming and cooling effects caused by atmospheric and oceanic drivers during the onset and decline phase of major events. All major events illustrate a constrained contribution of the entrainment process over bay-entrance areas (<0.01 °C/d). Events in the out-bay (bathymetry > 25 m) and bay-entrance (bathymetry ≤ 25 m) areas experience different magnitudes of net cooling or net warming effects of horizontal advection and mixing processes. By evaluating the geographically separated MHWs over the last 40 years, it was found that MHWs over the shallow in-bay areas are typically frequent (approximately once per year) but less intense and short, while events in the deep out-bay areas are less frequent (approximately interannual) but more intense and prolonged when concurrent with anomalous ENSO-sensitive warm water advection. We suggested that a global assessment of these differences is necessary to identify qualified coastal seas associated with higher resilience to sudden and prolonged ocean warming.","2,4,10,11"
Octocoral dynamics over a decade on Florida’s coral reef,Scientific Reports,2025-12-01,15,1,,10.1038/s41598-025-21610-5,ar,Article,0,2-s2.0-105020355696,41152329,1,"In recent decades, studies have documented increased octocoral cover and density on western Atlantic reefs, suggesting their potential to thrive in areas once dominated by scleractinians. On Florida’s Coral Reef (FCR), octocorals are among the most abundant benthic taxa, and octocoral cover has demonstrated resilience, despite frequent acute disturbances that have decimated scleractinian populations. While octocoral cover is an important metric, particularly when assessing broad patterns, it overlooks key demographic processes, such as recruitment and survival, that underpin resilience. This study explored the spatiotemporal trends in arborescent octocorals across FCR using three metrics: percent cover, density, and the recruit density of target species. Using a long-term dataset across FCR from 2013 to 2023, generalized mixed-effects models revealed that temporal variations occurred predominantly at regional habitat scales. Octocoral cover declined slightly in most habitats from 2013 to 2023 (1.67% overall), but density increased overall by 33.7%, indicating a shift in the community composition due to several disturbances during the study period. Recruit density surged in the latter half of the study, leading to an increase in density in some habitats that surpassed pre-disturbance levels. Even though octocoral density was quickly restored by abundant recruitment after these disturbances, successive years of growth and survival were still needed to attain a percent cover equal to pre-disturbance values. Marine heatwaves in 2014 and 2015 had minimal impacts on octocoral cover or density, whereas Hurricane Irma (2017) caused significant region-wide declines in both metrics. The combined effects of Hurricane Ian (2022) and the onset of the 2023 marine heatwave likely drove significant declines in cover and density of octocorals in the Florida Keys and Dry Tortugas at the end of the study period. These findings suggest that some species of octocorals demonstrate a remarkable resilience, with populations recovering rapidly through recruitment following acute disturbances across FCR habitats. This multi-metric approach provides a comprehensive framework for understanding octocoral dynamics and their responses to environmental stressors on FCR.","7,8,9,11"
Marine heatwaves modulate food webs and carbon transport processes,Nature Communications,2025-12-01,16,1,,10.1038/s41467-025-63605-w,ar,Article,0,2-s2.0-105017931478,41053120,1,"Marine heatwave (MHW) impacts on ecosystem functions and services remain poorly constrained due to limited time-resolved datasets integrating physical, chemical, and biological parameters at relevant scales. Here we show that combining over a decade of autonomous Biogeochemical (BGC)-Argo float measurements with water-column plankton community profiles reveals the impacts of MHWs on particulate organic carbon (POC) production, transformation, and transport in the northeastern subarctic Pacific Ocean. POC concentrations are exceptionally high during the 2015 and 2019 MHWs, linked to detritus enrichment and shifts in plankton community structure. Instead of being rapidly exported to depth, particles <100 µm accumulate in mesopelagic waters, where slow remineralization over the year reduces deep particle flux and carbon sequestration potential. This enhancement is absent in the 2014 and 2020 MHWs, underscoring variability in ecosystem responses to extreme events. These findings highlight the need for sustained, multi-platform observations to assess and predict carbon-cycle responses to thermal extremes.","7,11"
Machine learning techniques for marine heatwave prediction: a comprehensive review,Intelligent Marine Technology and Systems,2025-12-01,3,1,,10.1007/s44295-025-00076-1,re,Review,1,2-s2.0-105017478267,,1,"Marine ecosystems and coastal economies are seriously threatened by marine heatwaves (MHWs), which are defined as extended periods of abnormally high sea surface temperatures (SSTs). Accurate and early MHW forecasting has become essential because climate change has increased the frequency and severity of such phenomena. In this review, we examine the application of traditional machine learning (ML) and deep learning (DL) methods for MHW detection and prediction. Specifically, we investigate the algorithms (neural networks, ensemble methods, and hybrid architectures) as well as the input variables, datasets, and evaluation metrics employed. Additionally, we review previous studies conducted on different ocean basins to highlight regional patterns and model transferability. Furthermore, we identify the emerging trends in DL, such as the use of explainable artificial intelligence and physics-guided learning for MHW prediction, and outline key challenges and limitations. Finally, we discuss future directions for improving the accuracy, generalization, and interpretability of MHW forecasting systems.","12,15"
Spatiotemporal patterns of marine heatwaves in the Southern Ocean and their role in air-sea interaction,Journal of Marine Systems,2025-12-01,252,,,10.1016/j.jmarsys.2025.104141,ar,Article,0,2-s2.0-105017430373,,0,"Marine heatwaves (MHWs) are extended periods of abnormally warm ocean conditions in which temperature exceeds the 90th percentile threshold limit. While prior studies have mainly focused on regional trends, the Southern Ocean, particularly around Antarctica, has been relatively understudied despite experiencing considerable warming in recent decades. This study investigates MHWs in the Southern Ocean from 1982 to 2022, highlighting significant spatial and temporal variations in their frequency, intensity, and days. MHWs were found to be more frequent (0.4 events per decade) and intense north of 65°S, especially during the summer, with a marked rise in occurrence after 2008, coinciding with anthropogenic climate change and increasing sea surface temperatures (SST). The study also identifies the influence of climate patterns such as El Niño and the Indian Ocean Dipole (IOD) on MHWs intensity and frequency, particularly in the Ross Sea during spring and autumn. We analyzed the atmospheric impacts of significant MHWs in 2013. The 2013 MHW event serves as a key example of extreme subsurface warming, where temperatures reached 6.2 °C at 120 m depth, significantly increasing the region's heat content. This highlights how MHWs can transmit heat vertically, impacting both surface and deep ocean layers. The findings emphasize the complex interactions between ocean dynamics, and atmospheric conditions in determining MHWs patterns in the Southern Ocean, offering crucial insights for predicting the region's future responses to climate change.","1,2,4,5,10,13"
Lifting the lid on Marine Heatwaves,Progress in Oceanography,2025-12-01,239,,,10.1016/j.pocean.2025.103539,ar,Article,2,2-s2.0-105016132998,,1,"Life is ubiquitous throughout the ocean, with species abundance and richness often greatest below the surface. As a result, ocean extremes throughout the water column may impact resident marine organisms and ecosystems. However, ocean extremes, such as marine heatwaves, have been commonly described based on surface observations. Given the importance of subsurface ocean processes, such as nutrient recycling, (de)oxygenation, and carbon transport, there has been an increasing focus on subsurface marine heatwaves (MHWs). Subsurface MHWs are prolonged warm ocean temperature extremes, and have a diversity of vertical structures linked with different driving mechanisms. Warming may be confined to the surface mixed layer; it may extend much deeper, potentially affecting the entire water column; it may appear only below the surface, with no surface signature, or it may be isolated near to or connected with the seafloor. Based on existing literature and a new analysis of subsurface MHW structure, we propose a comprehensive naming convention, differentiating between mixed layer, deep, thermocline, full depth, submerged and benthic marine heatwaves. Most surface-confined MHWs are associated with surface heat fluxes or shallow ocean advection or mixing. Conversely, many subsurface events are likely related to the vertical or horizontal displacement of temperature gradients/fronts, deep advection, and/or subduction of warm waters below the mixed layer. Different MHW vertical structures also have varying impacts on ocean biogeochemistry. However, due to the sparsity of physical, biogeochemical and biological observations, as well as the complexity of identifying and describing subsurface MHWs, there is limited understanding of the impact of subsurface MHW extremes. The nomenclature proposed in this paper seeks to provide a common language for understanding subsurface MHWs, thus enabling inter-disciplinary studies to quantify their impact.","3,4,7"
