Date,Extent
1994-03-01,15.55
1994-04-01,14.89
1994-05-01,13.62
1994-06-01,12.02
1994-07-01,9.93
1994-08-01,7.64
1994-09-01,7.14
1994-10-01,8.92
1994-11-01,11.12
1994-12-01,13.27
1995-01-01,14.59
1995-02-01,15.23
1995-03-01,15.26
1995-04-01,14.45
1995-05-01,12.97
1995-06-01,11.44
1995-07-01,8.99
1995-08-01,6.74
1995-09-01,6.08
1995-10-01,7.83
1995-11-01,10.76
1995-12-01,12.92
1996-01-01,14.18
1996-02-01,15.15
1996-03-01,15.12
1996-04-01,14.22
1996-05-01,13.09
1996-06-01,12.08
1996-07-01,10.16
1996-08-01,8.18
1996-09-01,7.58
1996-10-01,9.16
1996-11-01,10.4
1996-12-01,12.86
1997-01-01,14.42
1997-02-01,15.44
1997-03-01,15.47
1997-04-01,14.56
1997-05-01,13.18
1997-06-01,11.74
1997-07-01,9.41
1997-08-01,7.29
1997-09-01,6.69
1997-10-01,8.34
1997-11-01,10.68
1997-12-01,13.08
1998-01-01,14.72
1998-02-01,15.75
1998-03-01,15.6
1998-04-01,14.89
1998-05-01,13.59
1998-06-01,11.71
1998-07-01,9.42
1998-08-01,7.51
1998-09-01,6.54
1998-10-01,8.45
1998-11-01,10.44
1998-12-01,12.76
1999-01-01,14.36
1999-02-01,15.31
1999-03-01,15.4
1999-04-01,15.08
1999-05-01,13.75
1999-06-01,11.78
1999-07-01,9.49
1999-08-01,7.23
1999-09-01,6.12
1999-10-01,8.6
1999-11-01,10.8
1999-12-01,12.64
2000-01-01,14.22
2000-02-01,15.14
2000-03-01,15.22
2000-04-01,14.56
2000-05-01,13.15
2000-06-01,11.67
2000-07-01,9.51
2000-08-01,7.17
2000-09-01,6.25
2000-10-01,8.38
2000-11-01,10.32
2000-12-01,12.64
2001-01-01,14.2
2001-02-01,15.21
2001-03-01,15.52
2001-04-01,14.86
2001-05-01,13.51
2001-06-01,11.46
2001-07-01,9.07
2001-08-01,7.46
2001-09-01,6.73
2001-10-01,8.3
2001-11-01,10.66
2001-12-01,12.49
2002-01-01,14.27
2002-02-01,15.34
2002-03-01,15.35
2002-04-01,14.3
2002-05-01,12.97
2002-06-01,11.58
2002-07-01,9.27
2002-08-01,6.6
2002-09-01,5.83
2002-10-01,8.16
2002-11-01,10.34
2002-12-01,12.61
2003-01-01,14.39
2003-02-01,15.19
2003-03-01,15.48
2003-04-01,14.51
2003-05-01,13.02
2003-06-01,11.6
2003-07-01,9.21
2003-08-01,6.94
2003-09-01,6.12
2003-10-01,7.85
2003-11-01,10.13
2003-12-01,12.59
2004-01-01,14.03
2004-02-01,14.91
2004-03-01,14.99
2004-04-01,13.99
2004-05-01,12.56
2004-06-01,11.45
2004-07-01,9.43
2004-08-01,6.85
2004-09-01,5.98
2004-10-01,7.93
2004-11-01,10.34
2004-12-01,12.55
2005-01-01,13.66
2005-02-01,14.37
2005-03-01,14.69
2005-04-01,14.09
2005-05-01,12.91
2005-06-01,11.16
2005-07-01,8.65
2005-08-01,6.3
2005-09-01,5.5
2005-10-01,7.35
2005-11-01,10.22
2005-12-01,12.23
2006-01-01,13.47
2006-02-01,14.32
2006-03-01,14.42
2006-04-01,13.91
2006-05-01,12.52
2006-06-01,10.92
2006-07-01,8.46
2006-08-01,6.5
2006-09-01,5.86
2006-10-01,7.54
2006-11-01,9.66
2006-12-01,11.95
2007-01-01,13.7
2007-02-01,14.51
2007-03-01,14.54
2007-04-01,13.85
2007-05-01,12.78
2007-06-01,11.22
2007-07-01,7.94
2007-08-01,5.34
2007-09-01,4.27
2007-10-01,6.04
2007-11-01,9.76
2007-12-01,12.03
2008-01-01,13.89
2008-02-01,14.95
2008-03-01,15.18
2008-04-01,14.35
2008-05-01,12.97
2008-06-01,11.21
2008-07-01,8.68
2008-08-01,5.91
2008-09-01,4.69
2008-10-01,7.35
2008-11-01,10.34
2008-12-01,12.36
2009-01-01,13.91
2009-02-01,14.81
2009-03-01,14.98
2009-04-01,14.5
2009-05-01,13.19
2009-06-01,11.32
2009-07-01,8.47
2009-08-01,6.14
2009-09-01,5.26
2009-10-01,6.92
2009-11-01,9.77
2009-12-01,12.2
2010-01-01,13.74
2010-02-01,14.58
2010-03-01,15.14
2010-04-01,14.66
2010-05-01,12.87
2010-06-01,10.59
2010-07-01,8.07
2010-08-01,5.87
2010-09-01,4.87
2010-10-01,6.98
2010-11-01,9.61
2010-12-01,11.83
2011-01-01,13.46
2011-02-01,14.36
2011-03-01,14.55
2011-04-01,14.11
2011-05-01,12.68
2011-06-01,10.75
2011-07-01,7.72
2011-08-01,5.5
2011-09-01,4.56
2011-10-01,6.46
2011-11-01,9.77
2011-12-01,12.15
2012-01-01,13.73
2012-02-01,14.55
2012-03-01,15.2
2012-04-01,14.63
2012-05-01,13.01
2012-06-01,10.67
2012-07-01,7.67
2012-08-01,4.72
2012-09-01,3.57
2012-10-01,5.89
2012-11-01,9.39
2012-12-01,12.01
2013-01-01,13.7
2013-02-01,14.72
2013-03-01,15.03
2013-04-01,14.3
2013-05-01,13.0
2013-06-01,11.36
2013-07-01,8.13
2013-08-01,6.01
2013-09-01,5.21
2013-10-01,7.45
2013-11-01,9.94
2013-12-01,12.18
2014-01-01,13.65
2014-02-01,14.42
2014-03-01,14.76
2014-04-01,14.09
2014-05-01,12.7
2014-06-01,11.03
2014-07-01,8.11
2014-08-01,6.08
2014-09-01,5.22
2014-10-01,7.23
2014-11-01,10.11
2014-12-01,12.35
2015-01-01,13.6
2015-02-01,14.4
2015-03-01,14.37
2015-04-01,13.89
2015-05-01,12.47
2015-06-01,10.88
2015-07-01,8.38
2015-08-01,5.6
2015-09-01,4.62
2015-10-01,6.97
2015-11-01,9.85
2015-12-01,12.04
2016-01-01,13.46
2016-02-01,14.2
2016-03-01,14.4
2016-04-01,13.68
2016-05-01,11.92
2016-06-01,10.41
2016-07-01,7.94
2016-08-01,5.37
2016-09-01,4.53
2016-10-01,6.08
2016-11-01,8.66
2016-12-01,11.46
2017-01-01,13.19
2017-02-01,14.12
2017-03-01,14.29
2017-04-01,13.75
2017-05-01,12.63
2017-06-01,10.76
2017-07-01,7.94
2017-08-01,5.48
2017-09-01,4.82
2017-10-01,6.77
2017-11-01,9.49
2017-12-01,11.74
2018-01-01,13.08
2018-02-01,13.97
2018-03-01,14.3
2018-04-01,13.7
2018-05-01,12.23
2018-06-01,10.78
2018-07-01,8.27
2018-08-01,5.61
2018-09-01,4.79
2018-10-01,6.13
2018-11-01,9.82
2018-12-01,11.86
2019-01-01,13.57
2019-02-01,14.39
2019-03-01,14.57
2019-04-01,13.43
2019-05-01,12.19
2019-06-01,10.59
2019-07-01,7.59
2019-08-01,5.03
2019-09-01,4.36
2019-10-01,5.73
2019-11-01,9.35
2019-12-01,11.9
2020-01-01,13.64
2020-02-01,14.64
2020-03-01,14.73
2020-04-01,13.62
2020-05-01,12.34
2020-06-01,10.59
2020-07-01,7.29
2020-08-01,5.07
2020-09-01,4.0
2020-10-01,5.33
2020-11-01,8.99
2020-12-01,11.73
2021-01-01,13.5
2021-02-01,14.39
2021-03-01,14.66
2021-04-01,13.79
2021-05-01,12.68
2021-06-01,10.77
2021-07-01,7.65
2021-08-01,5.71
2021-09-01,4.95
2021-10-01,6.82
2021-11-01,9.83
2021-12-01,12.15
2022-01-01,13.87
2022-02-01,14.61
2022-03-01,14.59
2022-04-01,13.99
2022-05-01,12.88
2022-06-01,10.88
2022-07-01,8.29
2022-08-01,5.95
2022-09-01,4.9
2022-10-01,6.66
2022-11-01,9.73
2022-12-01,11.89
2023-01-01,13.35
2023-02-01,14.18
2023-03-01,14.44
2023-04-01,13.99
2023-05-01,12.82
2023-06-01,10.99
2023-07-01,8.21
2023-08-01,5.51
2023-09-01,4.38
2023-10-01,6.41
2023-11-01,9.68
2023-12-01,12.0
2024-01-01,13.92
2024-02-01,14.61
2024-03-01,14.87
2024-04-01,14.12
2024-05-01,12.74
2024-06-01,10.85
2024-07-01,7.87
2024-08-01,5.13
2024-09-01,4.35
2024-10-01,5.93
2024-11-01,9.15
2024-12-01,11.42
2025-01-01,13.13
2025-02-01,13.75
2025-03-01,14.14
2025-04-01,13.91
2025-05-01,12.56
2025-06-01,10.48
2025-07-01,7.66
2025-08-01,5.41
2025-09-01,4.75
2025-10-01,6.32
2025-11-01,8.77
