eid,title,journal,date,volume,issue,pages,doi,subtype,subtype_desc,citedby,pmid,open_access,abstract
2-s2.0-85195956130,Global impacts of marine heatwaves on coastal foundation species,Nature Communications,2024-12-01,15,1,,10.1038/s41467-024-49307-9,ar,Article,54,38871692,1,"With increasingly intense marine heatwaves affecting nearshore regions, foundation species are coming under increasing stress. To better understand their impacts, we examine responses of critical, habitat-forming foundation species (macroalgae, seagrass, corals) to marine heatwaves in 1322 shallow coastal areas located across 85 marine ecoregions. We find compelling evidence that intense, summer marine heatwaves play a significant role in the decline of foundation species globally. Critically, detrimental effects increase towards species warm-range edges and over time. We also identify several ecoregions where foundation species don’t respond to marine heatwaves, suggestive of some resilience to warming events. Cumulative marine heatwave intensity, absolute temperature, and location within a species’ range are key factors mediating impacts. Our results suggest many coastal ecosystems are losing foundation species, potentially impacting associated biodiversity, ecological function, and ecosystem services provision. Understanding relationships between marine heatwaves and foundation species offers the potential to predict impacts that are critical for developing management and adaptation approaches."
2-s2.0-85193525707,Simulating drifting fish aggregating device trajectories to identify potential interactions with endangered sea turtles,Conservation Biology,2024-12-01,38,6,,10.1111/cobi.14295,ar,Article,3,38766922,1,"Purse-seine fishers using drifting fish aggregating devices (dFADs), mainly built with bamboo, plastic buoys, and plastic netting, to aggregate and catch tropical tuna, deploy 46,000–65,000 dFADs per year in the Pacific Ocean. Some of the major concerns associated with this widespread fishing device are potential entanglement of sea turtles and other marine fauna in dFAD netting; marine debris and pollution; and potential ecological damage via stranding on coral reefs, beaches, and other essential habitats for marine fauna. To assess and quantify the potential connectivity (number of dFADs deployed in an area and arriving in another area) between dFAD deployment areas and important oceanic or coastal habitat of critically endangered leatherback (Dermochelys coriacea) and hawksbill (Eretmochelys imbricata) sea turtles in the Pacific Ocean, we conducted passive-drift Lagrangian experiments with simulated dFAD drift profiles and compared them with known important sea turtle areas. Up to 60% of dFADs from equatorial areas were arriving in essential sea turtle habitats. Connectivity was less when only areas where dFADs are currently deployed were used. Our simulations identified potential regions of dFAD interactions with migration and feeding habitats of the east Pacific leatherback turtle in the tropical southeastern Pacific Ocean; coastal habitats of leatherback and hawksbill in the western Pacific (e.g., archipelagic zones of Indonesia, Papua New Guinea, and Solomon Islands); and foraging habitat of leatherback in a large equatorial area south of Hawaii. Additional research is needed to estimate entanglements of sea turtles with dFADs at sea and to quantify the likely changes in connectivity and distribution of dFADs under new management measures, such as use of alternative nonentangling dFAD designs that biodegrade, or changes in deployment strategies, such as shifting locations."
2-s2.0-85184991589,Combined Impacts of Southern Annular Mode and Zonal Wave 3 on Antarctic Sea Ice Variability,Journal of Climate,2024-03-10,37,5,1759-1775,10.1175/JCLI-D-23-0516.1,ar,Article,6,,0,"Large-scale modes of atmospheric variability in the southern midlatitudes can influence Antarctic sea ice concentrations (SIC) via diverse processes. For instance, variability in both the Southern Annular Mode (SAM) and zonal wave 3 (ZW3) have been linked to the abrupt 2015/16 sea ice decline. While SIC responses to each of SAM and ZW3 have been examined previously, their interaction and synchronous impact on Antarctic sea ice has not. Here, we investigate SAM/ZW3 interactions and their associated combined impacts on Antarctic sea ice using a 1200-yr simulation from a state-of-the-art climate model. Our results suggest that zonal wind anomalies associated with SAM drive SIC anomalies in the marginal ice-zone via advection of ice normal to the ice edge and Ekman drift. In contrast, meridional wind anomalies associated with ZW3 can have opposing dynamic and thermodynamic effects on SIC. Both SAM- and ZW3-related SIC anomalies propagate eastward, likely by the Antarctic Circumpolar Current. The interaction of SAM and ZW3 leads to interesting regional SIC responses. During negative SAM, ZW3-associated meridional wind anomalies across western Antarctica are closer to the ice edge and have a stronger impact on sea ice overall. ZW3 phase affects meridional wind anomalies across the whole ice edge, whereas it affects SIC anomalies mainly over western Antarctica. In parts of eastern Antarctica, SIC anomalies are less sensitive to ZW3 phase, but are sensitive to SAM, particularly in locations where the ice edge has a prominent angle relative to the SAM-related zonal wind anomalies. SIGNIFICANCE STATEMENT: The Southern Annular Mode (SAM) and zonal wave 3 (ZW3) are large-scale atmospheric circulation patterns affecting midlatitude east–west and north–south winds, respectively, over the Southern Ocean. Variations in winds can affect sea ice formation, which can feed back to influence Southern Hemisphere climate. We examine how variations in SAM and ZW3 affect Antarctic sea ice due to a combination of wind- and ocean-driven ice movement and sea ice growth or melting. Regional variations in ice concentrations are due both to alternating north–south ZW3 winds and to the interaction of SAM-related east–west winds with the ice edge. SAM and ZW3 can also interact, leading to stronger north–south wind and sea ice responses over western Antarctica when SAM-related midlatitude winds weaken."
2-s2.0-85185671660,Understanding Biases in Indian Ocean Seasonal SST in CMIP6 Models,Journal of Geophysical Research Oceans,2024-02-01,129,2,,10.1029/2023JC020330,ar,Article,13,,1,"The latest generation of climate models continue to exhibit biases in their representation of climatological sea surface temperature (SST), affecting their ability to simulate climate variability including the Indian Ocean Dipole which is typically too strong. Here, we analyze the surface layer heat budget of the Indian Ocean to diagnose the processes leading to biases in climatological SST biases in 20 Coupled Model Intercomparison Project Phase 6 (CMIP6) models, in comparison to a suite of observational and reanalysis products. In the western tropical Indian Ocean, we find that weaker than observed winds reduce the strength of surface currents leading to warm SST bias. In the south-eastern tropical Indian Ocean, overly strong southeasterly winds are associated with overestimated coastal upwelling that increases cooling across CMIP6 models. In the Arabian Sea, overly strong surface winds increase latent heat loss and leads to cool SST biases. We also analyze other regions like the Bay of Bengal, where a persistent cool bias cannot be explained by seasonal heat budgets, and southern Indian Ocean, where overly strong surface winds are responsible for cool SST biases. These biases in surface processes are supported by intermodel relationships between relevant variables, thus explaining differences in simulating the climatological SSTs across the model ensemble. Our analysis suggests that biases in atmospheric processes in particular surface winds are a primary cause of biases in Indian Ocean SST. Reducing these biases would improve the simulation of climate variability in the Indian Ocean toward more reliable climate projections and predictions."
2-s2.0-85212293198,Optimising the design and analysis of capture-mark-recapture experiments using individual-based models,Frontiers in Marine Science,2024-01-01,11,,,10.3389/fmars.2024.1497812,ar,Article,0,,1,"Capture-mark-recapture methods (CMR) are a commonly used tool in species conservation and management for the estimation of demographic parameters in a population. However, biases in these estimates can occur due to the heterogeneity in processes influencing recapture data or the experimental design. We outline an approach to quantify and identify ways to reduce this bias through both experimental design and data analysis, using individual based modelling (IBMs). By using an IBM that includes key sources of heterogeneity that are believed to exist in the system, the release and recapture of marked individuals can be simulated under differing experimental, behavioural or landscape scenarios. Using this IBM as a data-generator, we compare a simulated population of individuals with a subset of that population that represent those marked and recaptured in a CMR experiment. Parameter estimates from the data generated by the marked subset are then compared to ‘true’, realised parameters from the wider, unmarked population. We demonstrate this with an application of ‘simulated tagging’ of Pacific skipjack tuna (Katsuwonus pelamis), using scenarios of different release locations of marked individuals, alternative band-recovery models, and differing assumptions that define the spatial extent of the unmarked population. We quantify the error in the estimated survival and fishing mortality parameters and examine how these can be reduced by following differing release and analysis strategies. We show that spatiotemporal heterogeneity of individual dispersion and recovery effort (i.e. fishing pressure) led to severe bias in recapture probability estimates, up to 361%, regardless of experimental design. However, when the baseline of the unmarked population of which marked animals were assumed to be representative was defined by spatial coverage of recaptures, rather than a fixed, spatial management area, bias was reduced to 25%. Our results show that the use of IBM frameworks exploring alternative hypotheses, either in the design of or post-hoc analyses of CMR experiments, support maximising the information that can be derived and quantify the degree of potential bias due to analysis model mis-specification. Furthermore, these methods can benefit other sampling and monitoring programmes in systems with high levels of spatial or ecological heterogeneity."
2-s2.0-85198405922,"Extreme events in the Indian Ocean: Marine heatwaves, cyclones, and tsunamis",Indian Ocean and Its Role in the Global Climate System,2024-01-01,,,121-144,10.1016/B978-0-12-822698-8.00011-1,ch,Book Chapter,6,,0,"In this chapter, we review the current knowledge on high-impact oceanic extremes in the Indian Ocean, namely, marine heatwaves (MHWs), tropical cyclones (TCs), and tsunamis. MHWs and TCs are both modulated by Indo-Pacific climate variability, in particular, the El Niño-Southern Oscillation and the Indian Ocean Dipole. Anthropogenic warming has resulted in more frequent MHWs over the past two decades, a tendency very likely to increase further. Because of their stochastic nature, it is difficult to confidently attribute the declines in TC numbers, observed over large parts of the Indian Ocean except for the Arabian Sea, to climate change. Future projections consistently suggest fewer TCs in the southern Indian Ocean but also more intense TCs with more extreme precipitation at the basin scale. Subduction of the Indian and Australian plates underneath the Eurasian plate creates hotspots for earthquakes in the Indian Ocean that generate tsunamis, devastating bordering countries. Monitoring, predictions, and early warning systems are crucial to mitigate the impacts of marine extremes."
2-s2.0-85169664811,Seasonal stratification and complex local dynamics control the sub-surface structure of marine heatwaves in Eastern Australian coastal waters,Communications Earth and Environment,2023-12-01,4,1,,10.1038/s43247-023-00966-4,ar,Article,31,,1,"Marine heatwaves are extreme seawater temperature events that can have severe impacts on marine life. The extent of the ecological damage depends not only on the easily observed surface signature but on the marine heatwave structure at depth. However, due to a paucity of in situ sub-surface observations the vertical structure of marine heatwaves is poorly understood. Here we analyse the sub-surface coherence and controls of marine heatwaves using one of the world’s longest (28 years) records of daily sub-surface ocean temperature off Sydney, Australia. We show that seasonal stratification, large-scale circulation and local downwelling processes control the vertical coherence of coastal marine heatwaves. We define three classes of marine heatwaves which can extend through the water column, form in the shallow surface layer, or sub-surface independently, and are therefore not always evident in surface data. We conclude that sub-surface data need to be considered in monitoring marine heatwaves in coastal areas where maximum biological damage is reported."
2-s2.0-85175976437,Early Eocene low orography and high methane enhance Arctic warming via polar stratospheric clouds,Nature Geoscience,2023-11-01,16,11,1027-1032,10.1038/s41561-023-01298-w,ar,Article,3,,1,"Proxy data suggest that the early Eocene (∼56–47.8 million years ago) was characterized by a much weaker equator-to-pole temperature gradient than today. However, general circulation models consistently underestimate high-latitude temperatures indicated by proxy records, suggesting that they may miss important processes. Previous studies hypothesized that wintertime polar stratospheric clouds may have played an important role in Arctic warming through greenhouse forcing, but these studies did not consider the effects of atmospheric chemistry or the early Eocene topography. Here we examine these factors using a high-top atmospheric model with interactive chemistry. The lower orography in the low- to mid-latitude Northern Hemisphere early Eocene weakens the stratospheric circulation which, in combination with sufficiently high methane concentrations, leads to a substantial increase in polar stratospheric clouds in the Arctic winter. Furthermore, an increase in early Eocene polar stratospheric clouds due to a 16- to 64-fold higher than pre-industrial methane concentration results in a radiative forcing larger than the direct greenhouse effect from the methane itself. This polar stratospheric cloud-induced radiative forcing could cause up to 7.4 K of Arctic surface warming. These results point to the potential for nonlinear interactions between individual forcings."
2-s2.0-85171474964,Marine biodiversity exposed to prolonged and intense subsurface heatwaves,Nature Climate Change,2023-10-01,13,10,1114-1121,10.1038/s41558-023-01790-6,ar,Article,52,,1,"Marine heatwaves (MHWs) are becoming increasingly common, with devastating ecosystem impacts. However, MHW understanding has almost exclusively relied on sea surface temperature with limited knowledge about their subsurface characteristics. Here we estimate global MHWs from the surface to 2,000 m depth, covering the period 1993–2019, and explore biodiversity exposure to their effects. We find that MHWs are typically more intense in the subsurface at 50–200 m and their duration increases up to twofold with depth, although with large spatial variability linked to different oceanographic conditions. Cumulative intensity (a thermal stress proxy) was highest in the upper 250 m, exposing subsurface biodiversity to MHW effects. This can be particularly concerning for up to 22% of the ocean, where high cumulative intensity overlapped the warm range edge of species distributions, thus being more sensitive to thermal stress. Subsurface MHWs can hence drive biodiversity patterns, with consequent effects on ecological interactions and ecosystem processes."
2-s2.0-85162053160,"Author Correction: Pathways to sustaining tuna-dependent Pacific Island economies during climate change (Nature Sustainability, (2021), 4, 10, (900-910), 10.1038/s41893-021-00745-z)",Nature Sustainability,2023-10-01,6,10,1288,10.1038/s41893-023-01171-z,er,Erratum,0,,1,"Correction to: Nature Sustainability. Published online 29 July 2021. In the version of this article originally published, there was an error in Supplementary Figure 15 where the current x-axis labels for Skipjack percentage of biomass change were also applied for the Yellowfin and Bigeye graphs; x-axis labels are now revised for all graphs in the online version of the article."
2-s2.0-85169998849,"With the arrival of El Niño, prepare for stronger marine heatwaves",Nature,2023-09-07,621,7977,38-41,10.1038/d41586-023-02730-2,no,Note,27,37673984,0,"Record-high ocean temperatures, combined with a confluence of extreme climate and weather patterns, are pushing the world into uncharted waters. Researchers must help communities to plan how best to reduce the risks. [Figure not available: see fulltext.]"
2-s2.0-85159276028,Demystifying global climate models for use in the life sciences,Trends in Ecology and Evolution,2023-09-01,38,9,843-858,10.1016/j.tree.2023.04.005,re,Review,30,37179171,0,"For each assessment cycle of the Intergovernmental Panel on Climate Change (IPCC), researchers in the life sciences are called upon to provide evidence to policymakers planning for a changing future. This research increasingly relies on highly technical and complex outputs from climate models. The strengths and weaknesses of these data may not be fully appreciated beyond the climate modelling community; therefore, uninformed use of raw or preprocessed climate data could lead to overconfident or spurious conclusions. We provide an accessible introduction to climate model outputs that is intended to empower the life science community to robustly address questions about human and natural systems in a changing world."
2-s2.0-85163884078,"Localising terrestrially derived pollution inputs to threatened near-shore coral reefs through stable isotope, water quality and oceanographic analysis",Marine Pollution Bulletin,2023-08-01,193,,,10.1016/j.marpolbul.2023.115193,ar,Article,7,37399735,1,"Near-shore coral reefs are at high-risk of exposure to pollution from terrestrial activities. Pollution impacts can vary with site-specific factors that span sources, rainfall and oceanographic characteristics. To effectively manage pollution, we need to understand how these factors interact. In this study, we detect terrestrially derived nutrient inputs on near-shore reefs at Norfolk Island, South Pacific by analysis of dissolved inorganic nitrogen (DIN) and stable isotopes. When compared to a reef site with predominantly oceanic inputs, we found that both the lagoon and a small reef adjacent to a catchment have signatures of human-derived DIN shown through depleted δ15N signatures in macroalgae. We find pollution exposure of reef sites is associated with known and unknown sources, rainfall and mixing of water with the open ocean. In characterising exposure of reef sites we highlight the role of site-specific context in influencing pollution exposure for benthic communities even in remote island systems."
2-s2.0-85159481575,Marine heatwaves: definition duel heats up,Nature,2023-05-18,617,7961,465,10.1038/d41586-023-01619-4,no,Note,26,37193814,0,
2-s2.0-85152195995,Can Polar Stratospheric Clouds Explain Arctic Amplification?,Journal of Climate,2023-04-15,36,8,2313-2332,10.1175/JCLI-D-22-0497.1,ar,Article,7,,2,"Climate models underestimate the magnitude of Arctic warming in past warm climates, like the early Cretaceous and Paleogene periods, implying that certain physical processes might be missing or poorly represented. Previous studies suggest that a large increase in wintertime Arctic polar stratospheric clouds (PSCs) might have promoted Arctic amplification through additional greenhouse warming. High methane concentrations in warm climates might have increased stratospheric water vapor providing favorable conditions for PSCs. However, methane concentrations in past warm climates are extremely uncertain. Here, we revisit the PSC hypothesis by exploring PSC changes under very high methane levels, 43 preindustrial carbon dioxide, and strong polar-amplified surface warming, using a whole-atmosphere model with fully interactive chemistry. We find that with polar-amplified warming there is a large increase in Arctic outgoing longwave radiation (OLR) that reduces as the methane concentration is increased. PSCs increase monotonically with methane concentration. A large radiative cooling and an increase in water vapor in the stratosphere increases Arctic PSCs, which follow a power law with respect to relative humidity. Using a two-way partial radiative perturbation technique, we show that the OLR reduction due to PSCs is similar to the direct radiative forcing of methane for high methane levels. Thus, we find that PSCs could play an important role in Arctic warming in a warmer-than-present-day climate, but only if methane levels were higher than suggested by previous modeling studies for past warm climates."
2-s2.0-85146365310,Biological Impacts of Marine Heatwaves,Annual Review of Marine Science,2023-01-16,15,,119-145,10.1146/annurev-marine-032122-121437,re,Review,388,35977411,1,"Climatic extremes are becoming increasingly common against a background trend of global warming. In the oceans, marine heatwaves (MHWs)-discrete periods of anomalously warm water-have intensified and become more frequent over the past century, impacting the integrity of marine ecosystems globally. We review and synthesize current understanding of MHW impacts at the individual, population, and community levels. We then examine how these impacts affect broader ecosystem services and discuss the current state of research on biological impacts of MHWs. Finally, we explore current and emergent approaches to predicting the occurrence andimpacts of future events, along with adaptation and management approaches. With further increases in intensity and frequency projected for coming decades, MHWs are emerging as pervasive stressors to marine ecosystems globally. A deeper mechanistic understanding of their biological impacts is needed to better predict and adapt to increased MHW activity in the Anthropocene."
2-s2.0-85161054457,"Is Australia weird? A cross-continental comparison of biological, geological and climatological features",Frontiers in Ecology and Evolution,2023-01-01,11,,,10.3389/fevo.2023.1073842,ar,Article,6,,1,"Australia’s distinctive biogeography means that it is sometimes considered an ecologically unique continent with biological and abiotic features that are not comparable to those observed in the rest of the world. This leaves some researchers unclear as to whether findings from Australia apply to systems elsewhere (or vice-versa), which has consequences for the development of ecological theory and the application of ecological management principles. We analyzed 594,612 observations spanning 85 variables describing global climate, soil, geochemistry, plants, animals, and ecosystem function to test if Australia is broadly different to the other continents and compare how different each continent is from the global mean. We found significant differences between Australian and global means for none of 15 climate variables, only seven of 25 geochemistry variables, three of 16 soil variables, five of 12 plant trait variables, four of 11 animal variables, and one of five ecosystem function variables. Seven of these differences remained significant when we adjusted for multiple hypothesis testing: high soil pH, high soil concentrations of sodium and strontium, a high proportion of nitrogen-fixing plants, low plant leaf nitrogen concentration, low annual production rate to birth in mammals, and low marine productivity. Our analyses reveal numerous similarities between Australia and Africa and highlight dissimilarities between continents in the northern vs. southern hemispheres. Australia ranked the most distinctive continent for 26 variables, more often than Europe (15 variables), Africa (13 variables), Asia (12 variables each), South America (11 variables) or North America (8 variables). Australia was distinctive in a range of soil conditions and plant traits, and a few bird and mammal traits, tending to sit at a more extreme end of variation for some variables related to resource availability. However, combined analyses revealed that, overall, Australia is not significantly more different to the global mean than Africa, South America, or Europe. In conclusion, while Australia does have some unique and distinctive features, this is also true for each of the other continents, and the data do not support the idea that Australia is an overall outlier in its biotic or abiotic characteristics."
2-s2.0-85153407766,Editorial: Advances in marine heatwave interactions,Frontiers in Climate,2023-01-01,5,,,10.3389/fclim.2023.1177781,ed,Editorial,2,,1,
2-s2.0-85135803603,Mid-Pliocene El Niño/Southern Oscillation suppressed by Pacific intertropical convergence zone shift,Nature Geoscience,2022-09-01,15,9,726-734,10.1038/s41561-022-00999-y,ar,Article,24,,1,"The El Niño/Southern Oscillation (ENSO), the dominant driver of year-to-year climate variability in the equatorial Pacific Ocean, impacts climate pattern across the globe. However, the response of the ENSO system to past and potential future temperature increases is not fully understood. Here we investigate ENSO variability in the warmer climate of the mid-Pliocene (~3.0–3.3 Ma), when surface temperatures were ~2–3 °C above modern values, in a large ensemble of climate models—the Pliocene Model Intercomparison Project. We show that the ensemble consistently suggests a weakening of ENSO variability, with a mean reduction of 25% (±16%). We further show that shifts in the equatorial Pacific mean state cannot fully explain these changes. Instead, ENSO was suppressed by a series of off-equatorial processes triggered by a northward displacement of the Pacific intertropical convergence zone: weakened convective feedback and intensified Southern Hemisphere circulation, which inhibit various processes that initiate ENSO. The connection between the climatological intertropical convergence zone position and ENSO we find in the past is expected to operate in our warming world with important ramifications for ENSO variability."
